Date,AMERICAN SHELLED CORN,AMERICAN SWEET CORN,AMERICAN SWEET CORN STEAMED PCK 1PC,AMERICAN SWEET CORN STEAMED PCK 2PC,APPLE FUJI,APPLE FUJI LOOSE,APPLE GOLDEN,APPLE KASHMIR,APPLE PACIFIC ROSE LOOSE,APPLE PACK,APPLE PINK LADY KG,APPLE RED DEL. MEDIUM,APPLE ROYAL GALA LOOSE,APPLE SHIMLA,APPLE VARIETY,BABY CORN PACK,BABY CORN PEELED PACK,BANANA FLOWER UNIT,BANANA KARPOORAVALLI,BANANA NENDRAN  - VWT,BANANA POOVAN,BANANA RAW PC,BANANA RED KG,BANANA ROBUSTA kg,BANANA STEM UNITS,BANANA YELAKKI 10-12PC VAR WT,BEANS BUSH,BEANS CLUSTER,BEANS CLUSTER kg,BEETROOT kg,BITTER GOURD,BLACK GRAPES SEEDLESS,BOTTLE GOURD LOOSE,BRINJAL LONG GREEN 250GM,BRINJAL LONG GREEN kg,BRINJAL LONG VIOLET 250GM,BRINJAL LONG VOILET kg,BRINJAL NAGPUR 250GM,BRINJAL NAGPUR kg,BRINJAL ROUND GREEN 250GM,BRINJAL ROUND VIOLET kg,BRINJAL STRIPPED(VARI) - 250 GMS PK,BRINJAL SUPHAL,BRINJAL VARI kg,BROCOLLI MEDIUM VWT,BUSH BEANS-LOOSE,CABBAGE,CABBAGE CHINESE (MEDIUM),CABBAGE RED,CABBAGE SANDOZE (MEDIUM),CAPSICUM BELL GREEN,CAPSICUM COLOURED,CARROT HILL PREMIUM,CARROT kg,CARROT PLAIN 500GM,CAULIFLOWER CUT PACK,CAULIFLOWER MEDIUM UNIT,CELERY PC,CHANNA WHITE STEAMED PCK,CHERRIES 200g,CHERRY FRESH PACK,CHERRY PACK.,CHILLI GREEN,CHILLI GREEN kg,CHOW CHOW-LOOSE,CHOW CHOW VWT,COCCINEA kg,COCONUT MEDIUM UNIT,COLACASIA,CORIANDER LEAF PC-KOL,CUCUMBER HYB ORGANIC,CUCUMBER HYBRID (MEDIUM) -VWT,CUCUMBER MALABAR,CUCUMBER PACK,CURRY LEAF UNIT,DATES RAW GOLDEN,DRUM STICK PC,FRESH TUTY FRUITY PACK,GARLIC 250 GMS,GARLIC BOLD,GARLIC CHINA,GARLIC HILL,GARLIC PEELED,GARLIC PKT,GARLIC PREMIUM PACK,GINGER (MANGO),GINGER PACK,GOOSEBERRY 250GM,GOOSEBERRY kg,GRAPES BANGALORE BLUE,GRAPES GREEN KG,GRAPES PANEER GULABI,GREEN ONION UNIT,GREEN PEAS PACK,GROUNDNUT PACK,GUAVA JAMA,JUMBO DEHYDRATED AMLA TREAT PACK 50g,JUMBO ROYAL DATES PACK 200g,JUMBO ROYAL DATES PACK 400g,KIWI,KNOL KHOL PLAIN-LOOSE,KNOOL KHOL,LADIES FINGER-OKHRA kg,LADY'S FINGER PACK,LEEK PC,LEMON PACK,LEMON PC,LETTUCE,LITCHI,MANGO ALPHONSO,MANGO BANGENPALLI,MANGO JAWAHAR PASAND,MANGO NEELAM,MANGO RAW LOOSE,MANGOSTEEN KG,MELODY MELON (MEDIUM),METHI UNIT,MINT LEAVES,MUSAMBI PREMIUM KG,MUSHROOM BUTTON 200GM,MUSK MELON KEERNI,MUSK MELON KEERNI KG,MUSK MELON KOREAN LARGE,ONION,ONION BULK PACK KG,ONION ECONOMY 1KG,ONION PREMIUM,ONION PREMIUM 1KG PK,ONION SAMBAR (PEELED),ONION SAMBAR PACK,ONION WHITE,ORANGE,ORANGE IMPORTED,ORANGE KINNOW,PALAK PC-KOL,PAPAYA kg,PAPAYA ORGANIC,PEAR CHINA,PEAR COUNTRY,PEARS COUNTRY MEDIUM 500GM,PINEAPPLE PC,PLUMS LOOSE,POMEGRANATE KABUL PREMIUM KG,POMOGRANATE - KABUL (MEDIUM),POOJA ITEM PACK 1,POTATO,POTATO BABY 500 GMS,POTATO BABY PC,POTATO LOW SUGAR PCK,POTATO PREMIUM,PUMKIN DISCO,PUMPKIN SLICE VWT,RAMBUTAN,RIDGE GOURD(HYBRID),SAN-BANANA HILL,SAPOTA-KG-AHD,SIPPY CORN COB,SIPPY CORN KERNALS 300g,SNAKE GOURD LOOSE,SP DRY COPRA 200 GMS,SPROUT CHENNA WHITE PACK,SPROUT GREEN GRAM PACK,SPROUT PEANUT 200GM,SPROUTS- NAVA RATHENA,SPROUTS - CORN,SPROUTS - MIXED,SUN MELON,SWEET CORN COMBI PACK,SWEET CORN STEAMED CHAT MASALA KERNEL PK,SWEET CORN STEAMEDPERI MASALA KERNEL PK,TOMATO,TOMATO HYBRID,TOMATO HYBRID PREMIUM-KG,WATERMELON KIRAN,WATERMELON VAR WT,WET DATES KIMIA PACK,WET DATES KRAFT 200g,WOOD APPLE PC,YAM SLICE VWT
7/1/2014,0,2,1,0,0,3.89,0,0,0,15,0,0,0.69,0,0,0,2,0,1.59,3.63,1.7,4,1.49,0,0,1.44,15,0,0,0.86,0.74,0,0.57,0,0,0,0,6,0,0,0,2,0.96,0,0,0,0,1,0,0,0.91,0.56,0,0,12,0,5,0,0,0,4,0,11,0,0,0,0.72,21,1,11,0,2.9,0,0,0,0,3,0,0,2,0,0,0,4,0,0,7,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,27,2,0,32,2,0.92,0,72.81,0,0,0.25,0,4.2,6,5,0.54,4,0,0,0,15.95,0,0,0,0,3,0,6,0,0.32,0,4,3.44,0,0,0,0,0,1.14,0,3.19,0,12.84,2,0,0,2,0,0,1,0.29,0,0,1,-2,0.53,1,1,2,0,0,0,0,0,1,0,0,7.56,7.37,6,0,0,0,0,0,0
7/2/2014,1,3,3,0,0,3.83,0,0,0,16,0,0.22,0,0,0,4,1,0,4.38,0.38,3.78,3,0.48,0.97,0,0.93,0,0,0,1.13,1.17,0.61,0,0,0,0,0,1,0,0,0,1,0.62,0,0,0,0.67,0,0,0.52,1.13,0.28,0,0,7,0,9,0,5,0,3,0,11,0,0,0,0,12,7,17,0,2.42,0,1,0,0,0,0,0,2,0,1,2,0,0,0,7,0,0.2,0,0,1.02,7,0,0,0,0,0,0,1,0,0,0,10,0,7,20,0,0,0,38.69,0.51,0,2.53,0,4.23,0,8,3.52,4,0,0,0,10.72,0,1,4,0,0,2,0,0,1.4,0,5,3.06,0,0,0,0,0,0.55,0,6.83,0,12.27,3,0,0,0,0,1.06,0,0.71,0,0,0,0,1.11,0,3,0,0,0,0,0,0,0,1,1,10.18,10.99,0,0,0,1,0,0,0
7/3/2014,0,1,0,0,0,1.04,0,0,0,28,0,0.64,1.21,0,0,2,0,1,0,0,2.17,3,0,0,0,1.38,13,1,0,0.39,1.08,0,1.5,0,0,0,0,2,0,0,0,7,0.31,0,0,0,0,0,1.82,0,2.63,0.69,0,0,10,0,7,0,1,0,0,0,12,0,0,0,0.7,3,3,0,0,2.6,0,0,0,0,2,0,1,3,1,1,0,0,0,0,9,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,13,0,2,13,0,0,0,29.15,1.41,0,0.3,0,3.83,0,0,4.2,0,0,0,0,15.37,0,0,4,0,0,5,0,0.66,0.78,0,0,2.84,0,0,0,0,2,0,0,3.08,0,13.03,1,0,0,5,0,0.8,1,1.72,0,0,0,0,2.22,0,0,2,0,0,0,0,0,0,1,0,6.48,13.2,4,0,0,1,0,0,1.28
7/4/2014,0,3,0,0,0,3.06,0,0,0,26,0,0,0.59,0,0,5,1,1,3.22,0,1.33,3,2.95,1.66,0,2.44,5,2,0,0.6,1.55,0,1.92,0,0,0,0,4,0,0,0,0,1.21,0,0,0,1.23,0,0.37,1.58,2.24,0.58,0,0,9,0,4,0,0,0,0,0,10,0,0,0,0.29,5,3,11,0,2.4,0,2,0,0,7,0,1,1,0,1,4,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,17,2,3,6,0,0,0,86.08,0,0,1.08,0,6.32,12,6,5.42,5,0,0,0,11.89,0,0,7,2,4,3,0,0,0,0,4,3.71,0,0,0,0,0,0,0,5.04,0,8.8,0,1,0,2,2.11,1.16,0,2.06,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,9.89,10.71,2,0,0,3,0,0,0.7
7/5/2014,0,2,0,0,0,3.76,0,0,0,36,0,0.67,0.28,0,0,1,6,3,1.54,2.97,3.59,2,2.3,0,0,3.19,8,4,0,1.74,0,0,1.73,0,0,0,0,7,0,0,0,5,1.37,0,0,0,1.92,0,0.21,2.04,2.49,0.49,0,0,12,0,3,0,1,0,0,0,12,0,0,0,0.33,14,1,17,0,2.23,0,0,0,0,0,0,0,0,0,3,0,2,0,0,6,0,0,0,0,0,3,0,0,0.99,0,0,0,0,0,0,0,23,0,22,15,1,0,0.01,200.81,0,0,0,0.42,20.18,12,3,3.55,3,0,0,0,25.25,0,0,7,0,3,4,1,0,0,0,9,6.43,0,0,0,0,0,0,0,16.09,0,12.48,0,0,0,6,0,0,0,0.65,3.18,0.58,0,3,1.23,1,0,2,0,0,0,1,0,0,0,2,10.77,23.68,1,0,0,2,0,0,0.62
7/6/2014,0,2,1,0,0,3.45,0,0,0,26,0,0,1.13,0,0,3,0,0,10.03,0,2.84,3,2.03,2.53,0,4.86,10,5,0,0.96,0.75,0,2.03,0,0,0,0,2,0,0,0,6,0.42,0,0,0,2.72,4,0.64,1.52,2.32,0.52,0,0,14,0,5,0,1,0,0,0,23,0,0,0,0.54,16,10,14,0,3.71,0,1,0,0,3,0,2,2,0,5,0,1,0,0,11,1,0,0,0,2.36,4,0,0,0.16,0,0,0,0,0,0,0,25,0,7,20,1,0,0,137.54,0,0,0,1,20.56,17,12,1.08,0,0,2.61,1.02,27.5,0,0,0,0,0,5,1,0.18,3.05,0,10,2.94,0,0,0,0,1,0,0,11.86,0,16.1,2,0,0,0,1.13,0,0,0.38,0.81,0,0,0,1.22,1,2,4,0,0,0,1,0,0,3,0,12.72,26.27,0,0,0,0,0,0,0.78
7/7/2014,0,0,0,0,0,5.34,0,0,0,20,0,0,1.55,0,0,4,0,0,3.27,2.1,4.65,4,0.24,0.66,0,1.82,6,2,0,0.15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25,0.72,1.04,0.51,0,0,13,0,0,0,2,0,0,0,7,0,0,0,0.8,5,0,12,0,1.39,0,1,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0.69,3,0,0,0.56,0,0,0,0,0,0,0,15,0,5,14,0,0,0,36.46,0,0,0.51,0,1.85,0,11,6.25,0,2.32,0,1.01,19.22,0,0,0,0,0,5,3,0,0.88,0,9,1.11,0,0,0,0,1,0,0,8.57,0,10.72,0,0,0,0,0,0,1,1.88,1.11,0.47,1,0,0,0,2,1,0,0,0,1,0,1,0,1,6.99,17.74,0,0,0,0,0,0,0
7/8/2014,0,2,0,0,0,0.66,0,0,0,6,0,0.42,0,0,0,1,0,0,2.16,0.68,2.49,1,0.28,1.09,0,3.63,5,0,0,0.32,0.75,0,1.32,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0.44,0,0.92,0.12,0,0,7,0,4,1,0,0,0,0,13,0,0,0,0,4,0,13,0,1.59,0,0,0,0,0,0,0,1,4,1,1,1,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,13,0,1,32,2,0,0,0,0,0,0,0,6.83,4,6,1.19,7,0,0,0,11.32,0,0,4,0,2,7,4,0,1.42,0,6,1.13,0,0,0,0,0,0,0,4.96,0,7.65,1,0,0,0,0,0,0,1.18,0,0,0,0,1.19,0,0,3,0,0,0,1,0,0,2,1,7.19,5.05,8,0,0,2,0,0,0
7/9/2014,0,4,0,1,0,1.46,0,0,0,14,0,2.17,2,0,0,0,0,0,3.42,0,2.19,1,1.11,0.3,0,2.13,5,1,0,0.49,0.47,0,0.4,0,0,0,0,5,0,0,0,8,0.63,0,0,0,0,0,0.49,3.58,1.23,1.11,0,0,6,0,4,0,2,0,0,0,10,0,0,0,0.62,4,0,10,0,3.78,0,0,0,0,0,0,2,1,0,1,1,1,0,0,11,0,0,0,0,0,1,0,0,0.45,0,0,0,2,0,0,0,22,0,6,8,0,0,0,0,0,0,0,0,4.92,15,5,0,0,0,0,0.75,15.04,0,0,0,0,0,4,1,0,0.37,0,9,0,0,0,0,0,1,0,0,4.45,0,11.66,4,0,0,0,0,0.67,0,0.89,1.57,0,0,0,0.73,0,0,0,0,0,1,2,0,0,1,0,17.57,0.56,1,0,0,1,1,0,0
7/10/2014,0,0,0,2,0,4.02,0,0,0,23,0,0,0.59,0,0,3,3,0,0,0.89,2.02,3,0.91,0.11,0,0.38,2,0,0,1.71,2.74,0,2.21,0,0,0,0,2,0,0,0,0,1.32,0,0,0,0.16,0,0.46,0,1.58,0.2,0,0,10,0,2,2,0,0,0,0,13,0,0,0,0,0,0,11,0,2.04,0,3,0,0,3,0,1,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,15,4,0,0,0,0,0,1.3,0,7.85,9,5,4.15,5,0,0,0,8.75,0,0,7,0,0,3,0,0,1.22,0,4,1,0,0,0,0,2,0,0,2.61,0,6.11,0,0,0,1,0,0.24,0,0.73,1.15,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,6.51,8.71,0,0,0,1,0,0,0
7/11/2014,0,0,0,4,0,2.8,0,0,0,8,0,1.11,0.29,0,0,0,1,0,3.44,0.71,0.39,2,4.14,0.94,0,1.25,9,5,0,1.02,1.84,0,2,0,0,0,0,3,0,0,0,3,2.23,0,0,0,0,0,0.8,2.25,2.29,0.59,0,0.6,9,0,4,3,0,0,0,0,6,0,0,0,0,1,0,11,0,0.5,0,2,0,0,5,0,1,4,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,7,18,0,0,0,35.07,1.56,0,0.67,0,14.07,5,8,0.36,7,2.28,1.87,0,13.58,0,0,13,0,0,2,1,0,4.59,0,7,1.02,0,0,0,0,0,0,0,2.68,0,5.23,0,0,0,3,1,0,0,1.91,0.33,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,10.24,15.78,0,0,0,0,0,0,0
7/12/2014,0,0,3,5,0,2.23,0,0,0,6,0,1.25,0,0,0,4,0,0,3.02,1.98,4.79,3,0.79,1.03,0,3.52,4,5,0,1.66,0,0,2.87,0,0,0,0,7,0,0,0,5,2.99,0,0,0,0,0,0.62,0,1.32,1.45,0,0,10,0,2,2,0,0,0,0,14,0,0,0,0.26,2,2,10,0,3.58,0,2,0,0,2,0,0,2,1,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,4,10,13,3,0,0,12.24,10.8,0,1.41,0,10.75,8,9,1.5,0,1.09,1.36,0,10.4,0,0,10,0,2,3,0,0,10.07,0,6,1.01,0,0,0,0,1,0,0,3.17,0,7.45,1,0,0,2,0.73,0,0,2.37,0.32,0,0,0,0.28,1,2,2,0,0,0,1,0,0,3,1,9.94,14.16,0,0,0,3,0,0,0
7/13/2014,0,2,0,3,0,3.5,0,0,0,0,0,1.61,0,0,0,1,2,0,3.77,1.67,2.73,3,0.41,0.42,0,1.63,9,2,0,0.23,0.22,0,0.7,0,0,0,0,1,0,0,0,4,0.72,0,0,0,1.82,0,0.35,1.55,1.31,0.94,0,0,9,0,5,0,0,0,0,0,6,0,0,0,0.42,0,2,15,0,3.82,0,0,0,0,3,0,0,0,1,0,1,0,0,1,6,0,0.03,0,0,0,3,0,0,0,0,0,0,0,0.51,0,0,20,0,6,16,1,0,0,0,0.88,16.32,1.94,0,3.22,4,8,0.41,0,0,1.56,0,24.49,0,0,20,0,3,0,1,0,0,0,3,0.69,0,0,0,0,5,0,0,0.76,0,10.6,0,0,0,2,0,0,0,2.63,0,0,0,0,1.01,0,2,1,0,0,0,1,0,0,2,1,12.15,21.01,0,0,0,5,0,0,0
7/14/2014,0,0,0,3,0,0.14,0,0,0,0,0,1.09,1.44,0,0,2,1,0,0.83,2.6,2.9,4,2.77,0,0,0.54,7,3,0,0,1.38,0,0.46,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1.27,0.84,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,2,11,0,2.16,0,0,0,0,2,0,1,0,1,0,2,0,0,0,4,1,0,0,0,0,4,1,0,0,0,0,0,3,0.23,0,0,12,0,8,9,0,0,0,0,0,40.73,0.47,0,3.21,8,7,0,0,1.03,1.19,0,7.11,0,0,6,0,2,0,0,0,0,0,4,1.79,0,0,0,0,0,0,0,0.52,0,9.66,0,0,0,0,0,0,0,0.92,0,0,0,0,2.13,0,0,2,0,0,0,0,0,0,0,0,7.31,9.54,7,0,0,0,0,0,0
7/15/2014,0,0,0,2,0,0.74,0,0,0,0,0,0.87,0.2,0,0,1,2,0,4.48,1,2.79,7,1.05,0.49,0,0,11,1,0,0.99,0.45,0,0.36,2,0,0,0,2,0,0,0,2,1.9,0,0,0,0,0,0,0.99,0.8,0.36,0,0,14,0,3,0,0,0,0,0,16,0,0,0,0.71,0,0,11,0,2.33,0,5,0,0,2,0,3,4,0,2,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,12,0,4,16,1,0,0,0,0,24.7,1.84,0.42,11.98,10,8,1.56,1,0,1.41,1.19,8.44,0,0,11,0,0,3,0,0,1.51,0,5,2.09,0,0,0,0,1,0,0,7.69,0,15.36,0,0,0,1,1,0,0,1.16,0,0,0,0,0.29,1,1,4,0,0,0,2,0,0,1,0,12.45,10.87,5,0,0,0,1,0,0
7/16/2014,0,3,0,2,0,0.25,0,0,0,0,0,0.1,0.12,0,0,0,0,0,1.08,2.65,1.49,1,0,1.56,0,0,0,1,0,0,0,0,2.33,0,0,0,0,2,0,0,0,0,1.38,0,0,0,0,0,0,0,1.45,0.17,0,0,7,0,4,1,0,0,0,0,0,0,0.24,0,0,6,0,8,0,1.99,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,2,0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,13,0,0,0,0,0,18.87,1.01,0,4.79,6,2,0.28,1,0,0,0,12.99,0,0,5,0,1,2,1,0,0.86,0,6,0.51,0,0,0,0,0,0,0,1.73,0,8.49,0,0,0,3,0,0.25,0,0,0,0,0,0,0.71,0,0,2,0,0,0,2,0,0,0,2,4.23,8.21,4,0,0,2,0,0,0
7/17/2014,0,0,1,6,0,3.15,0,0,0,7,0,0.3,1.96,0,0,1,4,0,4.04,0.48,1.2,3,1.31,1.24,0,1.44,3,0,0,1.12,0.2,0,0.72,0,0,0,0,0,0,0,0,3,2.37,0,0,0,0,0,0.38,0,1.02,1.56,0,0,9,0,3,0,0,0,0,0,0,0,0.2,0,0,12,2,8,0,2.43,0,0,0,0,1,0,0,1,0,0,3,0,0,0,4,0,0.1,0,0,0,7,0,0,0,0,0,0,0,0.63,0,0,16,1,6,2,0,0,0,0,0,27.04,1.46,0,6.83,3,2,2.26,5,0,0,2.72,5.45,0,0,3,0,3,1,0,0,0.19,0,3,0.86,0,0,0,0,0,0,0,2.1,0,6.39,0,2,0,6,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6.92,6.16,1,0,0,0,0,0,0
