Year,Month,Mumps,Birth,Pop
1968,1,110,13206,8696000
1968,2,193,13206,8696000
1968,3,260,13206,8696000
1968,4,194,13206,8696000
1968,5,241,13206,8696000
1968,6,244,13206,8696000
1968,7,124,13206,8696000
1968,8,58,13206,8696000
1968,9,47,13206,8696000
1968,10,103,13206,8696000
1968,11,114,13206,8696000
1968,12,120,13206,8696000
1969,1,128,13654,8781000
1969,2,288,13654,8781000
1969,3,444,13654,8781000
1969,4,601,13654,8781000
1969,5,814,13654,8781000
1969,6,769,13654,8781000
1969,7,381,13654,8781000
1969,8,98,13654,8781000
1969,9,131,13654,8781000
1969,10,75,13654,8781000
1969,11,122,13654,8781000
1969,12,145,13654,8781000
1970,1,175,14178,8881826
1970,2,279,14178,8881826
1970,3,493,14178,8881826
1970,4,461,14178,8881826
1970,5,362,14178,8881826
1970,6,370,14178,8881826
1970,7,166,14178,8881826
1970,8,131,14178,8881826
1970,9,35,14178,8881826
1970,10,79,14178,8881826
1970,11,90,14178,8881826
1970,12,102,14178,8881826
1971,1,156,13388,8974186
1971,2,276,13388,8974186
1971,3,411,13388,8974186
1971,4,517,13388,8974186
1971,5,585,13388,8974186
1971,6,454,13388,8974186
1971,7,158,13388,8974186
1971,8,76,13388,8974186
1971,9,51,13388,8974186
1971,10,69,13388,8974186
1971,11,97,13388,8974186
1971,12,120,13388,8974186
1972,1,126,12119,9028944
1972,2,132,12119,9028944
1972,3,251,12119,9028944
1972,4,256,12119,9028944
1972,5,262,12119,9028944
1972,6,180,12119,9028944
1972,7,58,12119,9028944
1972,8,30,12119,9028944
1972,9,26,12119,9028944
1972,10,23,12119,9028944
1972,11,47,12119,9028944
1972,12,54,12119,9028944
1973,1,67,11665,9077956
1973,2,110,11665,9077956
1973,3,303,11665,9077956
1973,4,366,11665,9077956
1973,5,313,11665,9077956
1973,6,425,11665,9077956
1973,7,165,11665,9077956
1973,8,57,11665,9077956
1973,9,17,11665,9077956
1973,10,25,11665,9077956
1973,11,32,11665,9077956
1973,12,54,11665,9077956
1974,1,105,11353,9117507
1974,2,132,11353,9117507
1974,3,133,11353,9117507
1974,4,140,11353,9117507
1974,5,305,11353,9117507
1974,6,200,11353,9117507
1974,7,100,11353,9117507
1974,8,44,11353,9117507
1974,9,26,11353,9117507
1974,10,40,11353,9117507
1974,11,53,11353,9117507
1974,12,72,11353,9117507
1975,1,55,11049,9117668
1975,2,197,11049,9117668
1975,3,280,11049,9117668
1975,4,232,11049,9117668
1975,5,264,11049,9117668
1975,6,285,11049,9117668
1975,7,54,11049,9117668
1975,8,25,11049,9117668
1975,9,8,11049,9117668
1975,10,30,11049,9117668
1975,11,79,11049,9117668
1975,12,82,11049,9117668
1976,1,88,10836,9129205
1976,2,161,10836,9129205
1976,3,223,10836,9129205
1976,4,247,10836,9129205
1976,5,309,10836,9129205
1976,6,194,10836,9129205
1976,7,119,10836,9129205
1976,8,13,10836,9129205
1976,9,11,10836,9129205
1976,10,15,10836,9129205
1976,11,29,10836,9129205
1976,12,56,10836,9129205
1977,1,88,11424,9171110
1977,2,121,11424,9171110
1977,3,217,11424,9171110
1977,4,118,11424,9171110
1977,5,154,11424,9171110
1977,6,131,11424,9171110
1977,7,70,11424,9171110
1977,8,19,11424,9171110
1977,9,5,11424,9171110
1977,10,25,11424,9171110
1977,11,62,11424,9171110
1977,12,48,11424,9171110
1978,1,184,11478,9217761
1978,2,175,11478,9217761
1978,3,217,11478,9217761
1978,4,289,11478,9217761
1978,5,689,11478,9217761
1978,6,951,11478,9217761
1978,7,508,11478,9217761
1978,8,94,11478,9217761
1978,9,89,11478,9217761
1978,10,97,11478,9217761
1978,11,37,11478,9217761
1978,12,61,11478,9217761
1979,1,23,11929,9266268
1979,2,130,11929,9266268
1979,3,224,11929,9266268
1979,4,159,11929,9266268
1979,5,306,11929,9266268
1979,6,166,11929,9266268
1979,7,146,11929,9266268
1979,8,30,11929,9266268
1979,9,5,11929,9266268
1979,10,13,11929,9266268
1979,11,20,11929,9266268
1979,12,20,11929,9266268
1980,1,28,12006,9262078
1980,2,15,12006,9262078
1980,3,32,12006,9262078
1980,4,22,12006,9262078
1980,5,10,12006,9262078
1980,6,13,12006,9262078
1980,7,1,12006,9262078
1980,8,2,12006,9262078
1980,9,3,12006,9262078
1980,10,0,12006,9262078
1980,11,3,12006,9262078
1980,12,0,12006,9262078