"V1","V2"
14610,129
14611,144.333333333333
14612,78.375
14613,29.2916666666667
14614,43.5416666666667
14615,59.375
14616,72.4583333333333
14617,174.333333333333
14618,84.75
14619,55.0833333333333
14620,19.9166666666667
14621,20.5
14622,42.7083333333333
14623,92.0833333333333
14624,49.8333333333333
14625,182.708333333333
14626,210
14627,263.375
14628,341
14629,70.9166666666667
14630,27.75
14631,30
14632,21.5625
14635,203.538461538462
14636,110.708333333333
14637,21.125
14638,25.625
14639,45.2916666666667
14640,38.4166666666667
14641,64.6666666666667
14642,65.9166666666667
14643,78.9583333333333
14644,56.2083333333333
14645,78.5833333333333
14646,76.6666666666667
14647,113.916666666667
14648,180.958333333333
14649,147.625
14650,12.2083333333333
14651,14.5833333333333
14652,26.875
14653,88.2083333333333
14654,90.0869565217391
14655,34.2083333333333
14656,96.125
14657,60.75
14658,84.2083333333333
14659,114.875
14660,180.833333333333
14661,121.291666666667
14662,91.8333333333333
14663,174.541666666667
14664,272.75
14665,164.958333333333
14666,69.2916666666667
14667,80.0833333333333
14668,81.2083333333333
14669,59.25
14670,90.4166666666667
14671,157.416666666667
14672,192.333333333333
14673,21.7916666666667
14674,51.8333333333333
14675,87.8333333333333
14676,45.375
14677,19.7083333333333
14678,61.875
14679,176.291666666667
14680,43.625
14681,60.375
14682,86.625
14683,62.75
14684,64.875
14685,40.5833333333333
14686,164.75
14687,226
14688,161.954545454545
14689,70.5416666666667
14690,160.478260869565
14691,53.875
14692,61.9166666666667
14693,31.0416666666667
14694,69.5
14695,69.625
14696,73.9166666666667
14697,221.875
14698,251.666666666667
14699,113.1
14700,27.8636363636364
14701,31.625
14702,106.875
14703,124.125
14704,128.041666666667
14705,21.2916666666667
14706,94.75
14707,108.208333333333
14708,83.4583333333333
14709,34.0416666666667
14710,70.75
14711,44.5
14712,23.9583333333333
14713,55.9166666666667
14714,177.583333333333
14715,205
14716,152.375
14717,240.25
14718,199.5
14719,80.25
14720,39
14721,39.5416666666667
14722,33.5
14723,88.75
14724,83.8333333333333
14725,13.5
14726,25.125
14727,16.125
14728,19.0416666666667
14729,29.0416666666667
14730,69.9166666666667
14731,76.4166666666667
14732,113.291666666667
14733,139.25
14734,119.25
14735,20.2916666666667
14736,96.5
14737,132
14738,79.5833333333333
14739,42.375
14740,17.6666666666667
14741,43.7916666666667
14742,67.6666666666667
14743,142.75
14744,177.083333333333
14745,107.625
14746,69.1363636363636
14747,50.0833333333333
14748,34.4166666666667
14749,65.4166666666667
14750,113.875
14751,148
14752,123.208333333333
14753,42.4583333333333
14754,34.3333333333333
14755,83.7083333333333
14756,84.7894736842105
14757,134.416666666667
14758,137.583333333333
14759,41.2916666666667
14760,89.0833333333333
14761,106.45
14762,129.625
14763,110.833333333333
14764,80.0909090909091
14767,131.307692307692
14768,171.666666666667
14769,47.25
14770,51.7916666666667
14771,87.375
14772,106.5
14773,117.791666666667
14774,87.5833333333333
14775,144.458333333333
14776,90.9166666666667
14777,37
14778,68.2916666666667
14779,100.125
14780,74.5909090909091
14781,76.8333333333333
14782,128.777777777778
14783,58.0666666666667
14784,79.3333333333333
14785,166.583333333333
14786,169.333333333333
14787,118.75
14788,156.958333333333
14789,188.208333333333
14790,178.375
14791,119.375
14792,27.0416666666667
14793,70.8333333333333
14794,92.875
14795,46.2916666666667
14796,24.9583333333333
14797,57.125
14798,46.3333333333333
14799,84.5833333333333
14800,82.7916666666667
14801,167.541666666667
14802,122
14803,103.458333333333
14804,131.208333333333
14805,197.791666666667
14806,195.958333333333
14807,120.708333333333
14808,153.041666666667
14809,164.333333333333
14810,42.5
14811,71.6666666666667
14812,168.541666666667
14813,169.166666666667
14814,97.4583333333333
14815,164.041666666667
14816,211.583333333333
14817,182.666666666667
14818,177.041666666667
14819,201.208333333333
14820,212.375
14821,119.708333333333
14822,43.25
14823,68.3333333333333
14824,151.333333333333
14825,113.708333333333
14826,21
14827,22
14828,79.1666666666667
14829,100.166666666667
14830,242.958333333333
14831,141.75
14832,112.041666666667
14833,93.0416666666667
14834,131.842105263158
14837,75.2222222222222
14838,147
14839,229.875
14840,113.958333333333
14841,113
14842,37.1666666666667
14843,23.625
14844,85.0833333333333
14845,127.166666666667
14846,90.1666666666667
14847,60.1666666666667
14848,39.875
14849,51.3333333333333
14850,113.583333333333
14851,110
14852,88.0833333333333
14853,69.6666666666667
14854,103.375
14855,106.791666666667
14856,91.7916666666667
14857,119.5
14858,158
14859,129.458333333333
14860,97.0416666666667
14861,162.25
14862,99.7083333333333
14863,77.375
14864,124.125
14865,159.375
14866,200.458333333333
14867,301.75
14868,191.916666666667
14869,41.25
14870,23.625
14871,74.1578947368421
14872,90.4166666666667
14873,9
14879,45
14882,216.5
14883,220.875
14884,28.5416666666667
14885,9.875
14886,27.7083333333333
14887,82.125
14888,281.291666666667
14889,373.916666666667
14890,362.5
14891,363.25
14892,371.208333333333
14893,10.5833333333333
14894,58.4545454545455
14895,110.958333333333
14896,15.125
14897,43.1666666666667
14898,72.5833333333333
14899,48.125
14900,66.125
14901,73.375
14902,82.4166666666667
14903,128.375
14904,168.666666666667
14905,220.125
14906,91.0416666666667
14907,10.9583333333333
14908,14.4166666666667
14909,92.5
14910,71.9166666666667
14911,52.3333333333333
14912,52.75
14913,72
14914,65.5
14916,111.1
14917,66.5
14918,105.416666666667
14919,280.583333333333
14920,50.7083333333333
14921,13
14922,64.4583333333333
14923,133.333333333333
14924,67.2083333333333
14925,67.4583333333333
14926,16
14927,21.7083333333333
14928,59.4166666666667
14929,143.041666666667
14930,330.875
14931,385.083333333333
14932,366.958333333333
14933,295.708333333333
14934,119.458333333333
14935,79.2727272727273
14936,232.041666666667
14937,61.75
14938,71.875
14939,112.541666666667
14940,27.8333333333333
14941,187.916666666667
14942,181.791666666667
14943,225.166666666667
14944,258.083333333333
14945,72.875
14946,82.1666666666667
14947,172.708333333333
14948,65.5
14949,19.9583333333333
14950,58.3333333333333
14951,40.375
14952,198.708333333333
14953,95.5
14954,49.5833333333333
14955,116.75
14956,15.6666666666667
14957,17.125
14958,22.7916666666667
14959,55.6666666666667
14960,121.625
14961,278.166666666667
14962,137.833333333333
14963,210.666666666667
14964,441.5
14965,121.791666666667
14966,24.0833333333333
14967,47.75
14968,56.75
14969,47.2083333333333
14970,77
14971,30.5416666666667
14972,34.2916666666667
14973,17.7083333333333
14974,18.6086956521739
14975,36
14976,37.875
14977,169.291666666667
14978,82.7916666666667
14979,19.625
14980,16.0833333333333
14981,50.9166666666667
14982,77.0666666666667
14984,82.8888888888889
14985,24.5
14986,66.9166666666667
14987,121.5
14988,16.9166666666667
14989,16.875
14990,39.3333333333333
14991,33.9166666666667
14992,20.625
14993,20.5416666666667
14994,43.2083333333333
14995,74.4583333333333
14996,48.7916666666667
14997,14.4166666666667
14998,48.4583333333333
14999,31.1666666666667
15000,71.4583333333333
15001,27.875
15002,17
15003,12.6666666666667
15004,21.2083333333333
15005,29.1666666666667
15006,37.2083333333333
15007,52.9166666666667
15008,110.208333333333
15009,120.458333333333
15010,120.625
15011,48.75
15012,146.416666666667
15013,93.2916666666667
15014,124.666666666667
15015,68.1666666666667
15016,58.0416666666667
15017,29.375
15018,72
15019,36.9166666666667
15020,211.916666666667
15021,267.166666666667
15022,214.5
15023,186.458333333333
15024,190.25
15025,359.416666666667
15026,492.75
15027,397.291666666667
15028,417.458333333333
15029,128.333333333333
15030,70.375
15031,79.7083333333333
15032,54.375
15033,19.0833333333333
15034,23.375
15035,25.5
15036,17.125
15037,60.4583333333333
15038,96.375
15039,14.1578947368421
15040,19.3333333333333
15041,16.695652173913
15042,22.75
15043,47.9583333333333
15044,101.916666666667
15045,280.375
15046,159.75
15047,15.0416666666667
15048,16.0416666666667
15049,42.0416666666667
15050,113.35
15054,20.5555555555556
15055,17.9583333333333
15056,21.2608695652174
15057,10.375
15058,22.2083333333333
15059,61
15060,23.6666666666667
15061,46.75
15062,80.0833333333333
15063,103.1
15064,225.222222222222
15065,37.695652173913
15066,62.5416666666667
15067,131.6
15068,129.375
15069,210.75
15070,133.666666666667
15072,39.75
15073,98.7692307692308
15074,20.3478260869565
15075,21.4583333333333
15076,107.833333333333
15077,166.791666666667
15078,119.733333333333
15079,28.4
15080,91.6666666666667
15081,60.304347826087
15082,18.125
15083,77.5833333333333
15084,146.208333333333
15085,125.769230769231
15086,42.6666666666667
15087,13.125
15088,18.2608695652174
15089,111.833333333333
15090,75.2916666666667
15091,43.7083333333333
15092,85.2857142857143
15093,167.411764705882
15094,163.291666666667
15095,62.75
15096,23.1666666666667
15097,22.625
15098,67.5
15099,109.291666666667
15100,50.4166666666667
15101,33.8695652173913
15102,60.7916666666667
15103,49.7916666666667
15104,35.6666666666667
15105,103.333333333333
15106,41.5416666666667
15107,32.4583333333333
15108,30.7916666666667
15109,40.0416666666667
15110,51.875
15111,155.166666666667
15112,173.458333333333
15113,13.5833333333333
15114,33
15115,42.375
15116,66.5833333333333
15117,102.833333333333
15118,70.25
15119,61.7391304347826
15120,105.7
15121,111
15122,141.083333333333
15123,107.666666666667
15124,54.25
15125,12.4782608695652
15126,17.9565217391304
15127,79.4583333333333
15128,29.4583333333333
15129,39.9473684210526
15130,86.7916666666667
15131,99.4285714285714
15132,136.25
15133,26.625
15134,132.208333333333
15135,114.791666666667
15136,64.2916666666667
15137,23.3333333333333
15138,90.125
15139,150.541666666667
15140,151.375
15141,114.083333333333
15142,102.041666666667
15143,185.5
15144,196.416666666667
15145,179.166666666667
15146,145
15147,249.666666666667
15148,135.791666666667
15149,27.0416666666667
15150,35.4166666666667
15151,50.9166666666667
15152,59.9583333333333
15153,143
15154,235.666666666667
15155,142.291666666667
15156,136.5
15157,161.708333333333
15158,105.083333333333
15159,64.2916666666667
15160,125.5
15161,167.791666666667
15162,26.9166666666667
15163,23.0833333333333
15164,23
15165,87
15166,191.791666666667
15167,111.291666666667
15168,93.7083333333333
15169,103.166666666667
15170,75.4166666666667
15171,74.75
15172,105
15173,105.958333333333
15174,97.8333333333333
15175,44.375
15176,90.1666666666667
15177,174.708333333333
15178,292.416666666667
15179,226.75
15180,51.6666666666667
15181,47.9583333333333
15182,67.4583333333333
15183,210
15184,130.625
15185,41.7916666666667
15186,64.05
15189,62.9230769230769
15190,105.826086956522
15191,150.333333333333
15192,108.5
15194,100.5
15195,173.909090909091
15196,64
15197,101.272727272727
15198,133.333333333333
15199,121.125
15200,105.875
15201,112.625
15202,16.875
15203,50
15204,21.4583333333333
15205,59.125
15206,77.4583333333333
15207,85.9090909090909
15208,106.727272727273
15209,92
15210,104.8
15211,100.708333333333
15212,90.875
15213,88.4583333333333
15214,85.7083333333333
15215,127.260869565217
15216,164.541666666667
15217,238.791666666667
15218,28.875
15219,55.5416666666667
15220,89.625
15221,87.4583333333333
15222,89.375
15223,118.333333333333
15224,158.416666666667
15225,36.6666666666667
15226,21.5
15227,21.0833333333333
15228,44.8333333333333
15229,122.25
15230,121.458333333333
15231,158.5
15232,149.166666666667
15233,22.7083333333333
15234,18.9166666666667
15235,21.4583333333333
15236,29.375
15237,36.7083333333333
15238,40.9583333333333
15239,53.1666666666667
15240,119.041666666667
15241,146.416666666667
15242,265.25
15243,211.478260869565
15244,217.291666666667
15245,295.875
15246,45.4166666666667
15247,26.7916666666667
15248,39.7083333333333
15249,25.5
15250,37.5833333333333
15254,148.222222222222
15255,197.291666666667
15256,356.625
15257,70.125
15258,118.458333333333
15259,229.652173913043
15260,91.625
15261,12.625
15262,14.625
15263,16.2083333333333
15264,32.875
15265,93.5
15266,177.541666666667
15267,287.958333333333
15268,253.333333333333
15269,318.875
15270,174.416666666667
15271,16.9565217391304
15272,30.0588235294118
15273,122.8125
15274,205.583333333333
15275,177.458333333333
15276,232
15277,281.916666666667
15278,246.625
15279,196.045454545455
15280,40.9166666666667
15281,70.2916666666667
15282,96.5833333333333
15283,31.8333333333333
15284,66.25
15285,58.125
15286,52.7916666666667
15287,38
15288,68.0416666666667
15289,155.958333333333
15290,46.6666666666667
15291,29.7916666666667
15292,152.25
15293,203.75
15294,218.181818181818
15295,121.791666666667
15296,84.125
15297,20.125
15298,62.125
15299,144
15300,151.625
15301,23
15302,186.625
15303,214.666666666667
15304,246.791666666667
15305,227.125
15306,125.208333333333
15307,67.25
15308,98.9565217391304
15309,162.958333333333
15310,330.208333333333
15311,113.833333333333
15312,266.458333333333
15313,314.666666666667
15314,244.041666666667
15315,113.916666666667
15316,10.8333333333333
15317,18.6666666666667
15318,36.5833333333333
15319,83.7083333333333
15320,49.4166666666667
15321,156.916666666667
15322,14.4583333333333
15323,14.5
15324,26.4166666666667
15325,107.583333333333
15326,52.125
15327,62.7916666666667
15328,84.375
15329,21
15330,30.4166666666667
15331,54.625
15332,43.3333333333333
15333,85.625
15334,145.833333333333
15335,198.875
15336,160.5
15337,61.75
15338,136.625
15339,163.666666666667
15340,72.25
15341,63.4166666666667
15342,14.7916666666667
15343,33.8333333333333
15344,117.208333333333
15345,113.5
15346,118
15347,170.458333333333
15348,176.75
15349,231.791666666667
15350,55.9583333333333
15351,153.666666666667
15352,60.75
15353,87
15356,327.615384615385
15357,402.333333333333
15358,428.541666666667
15359,39.4166666666667
15360,15.625
15361,56.5416666666667
15362,193.791666666667
15363,19.4583333333333
15364,67.4583333333333
15365,107.125
15366,72
15367,90.75
15368,43.2916666666667
15369,119.625
15370,71.5
15371,18.9166666666667
15372,29.875
15373,68.9583333333333
15374,39.5833333333333
15375,133.541666666667
15376,76
15377,11.7083333333333
15378,15.125
15379,47.0416666666667
15380,28.5416666666667
15381,92
15382,106.333333333333
15383,212.125
15384,100.458333333333
15385,108.875
15386,13.7083333333333
15387,14.0416666666667
15388,36.375
15389,68.2083333333333
15390,146.25
15391,119.333333333333
15392,162.583333333333
15393,26.2916666666667
15394,92.9166666666667
15395,24.7916666666667
15396,62.125
15397,195.291666666667
15398,204.75
15399,229.277777777778
15400,250.958333333333
15401,121.375
15402,93.0909090909091
15403,131.75
15404,165.416666666667
15405,22.0416666666667
15406,18.4782608695652
15407,17.5833333333333
15408,93.0833333333333
15409,35.7083333333333
15410,23.75
15411,73.375
15412,112.458333333333
15413,32.6086956521739
15414,101.125
15415,273.916666666667
15416,195.666666666667
15417,42.25
15418,101.791666666667
15419,135.541666666667
15420,284.291666666667
15421,157.333333333333
15422,30.9583333333333
15423,19.4166666666667
15424,44.0416666666667
15425,160.375
15426,110.125
15427,46.25
15428,46.4166666666667
15429,16.8333333333333
15430,26.5
15431,56.5833333333333
15432,41.5416666666667
15433,21.5833333333333
15434,16.6666666666667
15435,16.2083333333333
15436,29.75
15437,79.9166666666667
15438,50
15439,123.833333333333
15440,61.875
15441,19.5833333333333
15442,32.5
15443,54.25
15444,60.0833333333333
15445,73.5
15446,33.0416666666667
15447,122.375
15448,155.5
15449,115.625
15450,144.458333333333
15451,167.875
15452,170.125
15453,249.416666666667
15454,91.875
15455,20.875
15456,77.5416666666667
15457,74.4782608695652
15458,116.958333333333
15459,176.125
15460,180.375
15461,176.083333333333
15462,100.625
15463,70.0416666666667
15464,116.434782608696
15465,96.9583333333333
15466,105.708333333333
15467,87.7916666666667
15468,83.7916666666667
15469,113.583333333333
15470,181.375
15471,153.083333333333
15472,104.541666666667
15473,135.291666666667
15474,44.1666666666667
15475,33.75
15476,28.2916666666667
15477,55.9583333333333
15478,96.8333333333333
15479,156.157894736842
15481,147.076923076923
15482,87.75
15483,29.5833333333333
15484,36
15485,55.0833333333333
15486,78.6666666666667
15487,117.125
15488,126.954545454545
15489,67.1666666666667
15490,15.875
15491,64.9583333333333
15492,80.4583333333333
15493,127.083333333333
15494,164.5
15495,113.083333333333
15496,64.9166666666667
15497,142.666666666667
15498,63.25
15499,75.75
15500,110.875
15501,12.25
15502,29.8333333333333
15503,20.2916666666667
15504,70.125
15505,9.79166666666667
15506,11.0555555555556
15507,25.0833333333333
15508,78.6666666666667
15509,180.958333333333
15510,183.608695652174
15511,176.695652173913
15512,182.909090909091
15513,106.041666666667
15514,168.083333333333
15515,158.695652173913
15516,90.2916666666667
15517,109.166666666667
15518,68.2916666666667
15519,117.083333333333
15520,83.2173913043478
15521,69.0833333333333
15522,137.727272727273
15523,35.2608695652174
15524,36.5217391304348
15525,85.7391304347826
15526,95.2916666666667
15527,125.375
15528,161.625
15529,142.791666666667
15530,94.6666666666667
15531,45.5833333333333
15532,64.1666666666667
15533,23.5454545454545
15534,25.625
15535,32.3333333333333
15536,40.75
15537,76.4583333333333
15538,83.2608695652174
15539,87.1304347826087
15540,125.208333333333
15541,201.875
15542,162.791666666667
15543,15.9583333333333
15544,31.9583333333333
15545,69.8333333333333
15546,82.7916666666667
15547,56.4782608695652
15548,82.4583333333333
15549,106.933333333333
15551,54.8333333333333
15552,25
15553,12.9583333333333
15554,21.0833333333333
15555,55.3478260869565
15556,25.4583333333333
15557,48.7083333333333
15558,63.6666666666667
15559,68.4166666666667
15560,74.9166666666667
15561,38.3333333333333
15562,79.0416666666667
15563,109.4375
15565,25
15566,55
15567,54.1666666666667
15568,75.5909090909091
15569,129.95652173913
15570,177.8
15573,16.8333333333333
15574,20
15575,78.2916666666667
15576,86.625
15577,126.166666666667
15578,155.916666666667
15579,64.625
15580,87.5833333333333
15581,107.583333333333
15582,236.958333333333
15583,185.541666666667
15584,157.083333333333
15585,29.7083333333333
15586,9.58333333333333
15587,14.25
15588,32.5
15589,94.7083333333333
15590,81.5416666666667
15591,50.9583333333333
15592,112.208333333333
15593,130.458333333333
15594,105.291666666667
15595,18.2916666666667
15596,14.6666666666667
15597,17
15598,34.9583333333333
15599,55.304347826087
15600,42.2083333333333
15601,31.5416666666667
15602,57.2083333333333
15603,112.708333333333
15604,147.791666666667
15605,109.666666666667
15606,105.333333333333
15607,63.125
15608,61.8333333333333
15609,27.6086956521739
15610,36.3809523809524
15611,3.18181818181818
15612,15
15613,15.4583333333333
15614,53.5833333333333
15615,155.666666666667
15616,53.9565217391304
15617,13.5416666666667
15618,50.5
15619,94.0416666666667
15620,127.958333333333
15621,263.25
15622,106.041666666667
15623,19.875
15624,131.416666666667
15625,170.916666666667
15626,35.0833333333333
15627,43.5416666666667
15628,101.958333333333
15629,39.2608695652174
15630,25.8333333333333
15631,62.5833333333333
15632,176.916666666667
15633,202.739130434783
15634,48.4583333333333
15635,26.0833333333333
15636,78.5
15637,108.666666666667
15638,196.291666666667
15639,280.333333333333
15640,146.208333333333
15641,25.8333333333333
15642,38.375
15643,31.2608695652174
15644,32.625
15645,96.3333333333333
15646,164.25
15647,139.833333333333
15648,19.8333333333333
15649,27.5416666666667
15650,83.4583333333333
15651,65
15652,56.4583333333333
15653,105.708333333333
15654,71.9166666666667
15655,11.7916666666667
15656,21
15657,13.375
15658,41.1666666666667
15659,142.5
15660,116.375
15661,70.375
15662,123
15663,23.7894736842105
15664,124.666666666667
15665,270.291666666667
15666,144.375
15667,45.9166666666667
15668,159.666666666667
15669,148.041666666667
15670,30.4545454545455
15671,183.791666666667
15672,22.2916666666667
15673,74.1666666666667
15674,31
15675,85
15676,243.166666666667
15677,57.125
15678,91.8333333333333
15679,13.875
15680,75.125
15681,54.2916666666667
15682,13.125
15683,22.9565217391304
15684,77.25
15685,136
15686,201.125
15687,220.083333333333
15688,207.75
15689,267.541666666667
15690,132.041666666667
15691,27.125
15692,40.9583333333333
15693,198.166666666667
15694,243.130434782609
15695,115
15696,24.2083333333333
15697,11.8
15702,241.833333333333
15703,32.75
15704,22
15705,84.25
15706,15.8333333333333
15707,18.625
15708,25.0833333333333
15709,85.5
15710,61.1666666666667
15711,139.958333333333
15712,146.166666666667
15713,118.833333333333
15714,61.9166666666667
15715,248.291666666667
15716,361.25
15717,568.565217391304
15718,416.260869565217
15719,299.5
15720,114.95652173913
15721,112
15722,75.7916666666667
15723,276.833333333333
15724,189.416666666667
15725,107.25
15726,147.833333333333
15727,198.875
15728,378.083333333333
15729,19.4166666666667
