Year,U.S.
X1950,11.22106
X1951,10.24862
X1952,9.890234
X1953,9.985363
X1954,10.05145
X1955,10.12583
X1956,9.942091
X1957,9.770529
X1958,10.75953
X1959,10.66436
X1960,10.78558
X1961,10.61668
X1962,11.17855
X1963,11.40495
X1964,11.15046
X1965,11.52387
X1966,11.28246
X1967,11.19782
X1968,11.05477
X1969,11.40742
X1970,11.83682
X1971,11.87784
X1972,12.13471
X1973,12.00975
X1974,12.12908
X1975,12.45698
X1976,12.09256
X1977,12.67173
X1978,11.81377
X1979,11.56452
X1980,11.24043
X1981,11.41708
X1982,11.4899
X1983,11.34989
X1984,11.54221
X1985,11.44829
X1986,11.84603
X1987,11.65775
X1988,11.39492
X1989,11.25343
X1990,11.45217
X1991,11.2965
X1992,11.05505
X1993,11.18842
X1994,11.12714
X1995,11.05877
X1996,10.77281
X1997,10.52044
X1998,10.38139
X1999,9.817642
X2000,9.532645
X2001,9.811729
X2002,9.95536
X2003,9.815033
X2004,10.02633
X2005,9.927033